"tconst"	"titleType"	"primaryTitle"	"originalTitle"	"isAdult"	"startYear"	"endYear"	"runtimeMinutes"	"genres"	"averageRating"	"numVotes"
"2107"	"tt0002130"	"movie"	"Dante's Inferno"	"L'Inferno"	0	1911	"\N"	"68"	"Adventure,Drama,Fantasy"	7.1	1845
"2819"	"tt0002844"	"movie"	"Fantômas: In the Shadow of the Guillotine"	"Fantômas - À l'ombre de la guillotine"	0	1913	"\N"	"54"	"Crime,Drama"	6.9	1806
"3010"	"tt0003037"	"movie"	"Fantomas: The Man in Black"	"Juve contre Fantômas"	0	1913	"\N"	"61"	"Crime,Drama"	6.9	1261
"3387"	"tt0003419"	"movie"	"The Student of Prague"	"Der Student von Prag"	0	1913	"\N"	"85"	"Drama,Fantasy,Horror"	6.6	1557
"3609"	"tt0003643"	"movie"	"The Avenging Conscience: or 'Thou Shalt Not Kill'"	"The Avenging Conscience: or 'Thou Shalt Not Kill'"	0	1914	"\N"	"78"	"Crime,Drama,Horror"	6.9	1010
"674"	"tt0003740"	"movie"	"Cabiria"	"Cabiria"	0	1914	"\N"	"148"	"Adventure,Drama,History"	6.8	2759
"3891"	"tt0003930"	"movie"	"Fantomas: The Mysterious Finger Print"	"Fantômas contre Fantômas"	0	1914	"\N"	"59"	"Crime,Drama"	6.8	1086
"4136"	"tt0004181"	"movie"	"Judith of Bethulia"	"Judith of Bethulia"	0	1914	"\N"	"61"	"Drama"	7.2	1155
"4649"	"tt0004707"	"movie"	"Tillie's Punctured Romance"	"Tillie's Punctured Romance"	0	1914	"\N"	"82"	"Comedy"	7	3085
"4913"	"tt0004972"	"movie"	"The Birth of a Nation"	"The Birth of a Nation"	0	1915	"\N"	"195"	"Drama,History,War"	6.1	1239
"5017"	"tt0005078"	"movie"	"The Cheat"	"The Cheat"	0	1915	"\N"	"59"	"Drama,Romance"	6.6	2151
"5889"	"tt0005960"	"movie"	"The Regeneration"	"The Regeneration"	0	1915	"\N"	"72"	"Biography,Crime,Drama"	6.9	1014
"6133"	"tt0006206"	"movie"	"Les vampires"	"Les vampires"	0	1915	"\N"	"421"	"Action,Adventure,Crime"	6.9	3825
"6259"	"tt0006333"	"movie"	"20,000 Leagues Under the Sea"	"20,000 Leagues Under the Sea"	0	1916	"\N"	"105"	"Action,Adventure,Sci-Fi"	6.9	1397
"6782"	"tt0006864"	"movie"	"Intolerance: Love's Struggle Throughout the Ages"	"Intolerance: Love's Struggle Throughout the Ages"	0	1916	"\N"	"163"	"Drama,History"	7.9	12699
"8330"	"tt0008443"	"movie"	"The Poor Little Rich Girl"	"The Poor Little Rich Girl"	0	1917	"\N"	"65"	"Comedy,Drama,Family"	6.8	1201
"8548"	"tt0008663"	"movie"	"A Man There Was"	"Terje Vigen"	0	1917	"\N"	"48"	"Drama,War"	7.4	1326
"8759"	"tt0008879"	"movie"	"The Outlaw and His Wife"	"Berg-Ejvind och hans hustru"	0	1918	"\N"	"136"	"Drama"	7.2	1366
"9240"	"tt0009369"	"movie"	"Mickey"	"Mickey"	0	1918	"\N"	"93"	"Comedy,Drama"	7	1025
"9482"	"tt0009611"	"movie"	"Shoulder Arms"	"Shoulder Arms"	0	1918	"\N"	"45"	"Comedy,War"	7	5136
"9523"	"tt0009652"	"movie"	"Stella Maris"	"Stella Maris"	0	1918	"\N"	"84"	"Drama"	7.3	1296
"9761"	"tt0009893"	"movie"	"The Oyster Princess"	"Die Austernprinzessin"	0	1919	"\N"	"58"	"Comedy"	7.2	1481
"9805"	"tt0009937"	"movie"	"Blind Husbands"	"Blind Husbands"	0	1919	"\N"	"99"	"Drama,Romance"	6.9	1238
